b.Product_ID,i.InQty,o.OutQty,On_Hand_Qty
4198696000011047767,1,1,0
4198696000011064299,3,1,2
4198696000011064334,1,1,0
4198696000010978337,2,2,0
4198696000010978700,1,1,0
4198696000011107147,2,2,0
4198696000011239760,1,1,0
4198696000011407535,7,3,4
4198696000011409509,1,1,0
4198696000011414624,1,1,0
4198696000011255579,3,3,0
4198696000011274069,10,6,4
4198696000011326740,5,2,3
4198696000011461067,6,4,2
4198696000011493002,7,4,3
4198696000011493053,3,3,0
4198696000011533564,12,8,4
4198696000011533711,5,2,3
4198696000011594117,13,10,3
4198696000011594633,4,4,0
4198696000011874210,4,3,1
4198696000011874304,2,2,0
4198696000011880125,13,7,6
4198696000011909475,1,1,0
4198696000011843874,2,1,1
4198696000011767005,2,2,0
4198696000011718364,2,2,0
4198696000012033666,1,1,0
4198696000011880315,3,1,2
4198696000012094008,1,1,0
4198696000012094505,1,1,0
4198696000012467076,1,1,0
4198696000012301984,1,1,0
4198696000012371740,2,2,0
4198696000012723759,13,11,2
4198696000012819450,4,2,2
4198696000012946045,1,1,0
4198696000013123498,17,14,3
4198696000013406194,30,26,4
4198696000013514365,2,1,1
4198696000013569981,4,4,0
4198696000013593076,6,5,1
4198696000013663258,2,2,0
4198696000013681446,5,4,1
4198696000013796511,1,1,0
4198696000013845010,2,2,0
4198696000014070122,4,1,3
4198696000014509915,8,6,2
4198696000014974121,2,2,0
4198696000015145001,1,1,0
4198696000015314100,3,1,2
4198696000015694355,9,6,3
4198696000015706905,1,1,0
4198696000015715145,1,1,0
4198696000015720598,1,1,0
4198696000015745548,2,2,0
4198696000015950356,3,1,2
4198696000016620116,1,1,0
4198696000017003141,8,8,0
4198696000017476716,1,1,0
4198696000017530003,1,1,0
4198696000017698481,1,1,0
4198696000017761973,3,3,0
4198696000017644391,2,2,0
4198696000017644815,3,3,0
4198696000017936835,3,3,0
4198696000017936730,1,1,0
4198696000018059374,1,1,0
4198696000018177565,2,1,1
4198696000018200267,8,6,2
4198696000018360262,1,1,0
4198696000018476053,2,2,0
4198696000018673092,1,1,0
4198696000018673580,1,1,0
4198696000018731997,1,1,0
4198696000018786967,3,1,2
4198696000018835222,1,1,0
4198696000018837278,1,1,0
4198696000018837365,4,4,0
4198696000018934682,3,3,0
4198696000019073935,2,1,1
4198696000019179824,4,2,2
4198696000019511961,18,15,3
4198696000019764240,2,1,1
4198696000019785558,1,1,0
